Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	ChestPainType (0.341)	ChestPainType (0.282)	Cholesterol (0.352)	ChestPainType (0.332)	ChestPainType (0.360)	Cholesterol (0.352)	ChestPainType (0.282)	ChestPainType (0.283)
	MaxHR (0.155)	Age (0.226)	ChestPainType (0.235)	FastingBS (0.114)	Age (0.226)	ChestPainType (0.235)	Age (0.226)	RestingBP (0.118)
	FastingBS (0.076)	Cholesterol (0.202)	Age (0.166)	Cholesterol (0.095)	Cholesterol (0.075)	Age (0.166)	Cholesterol (0.202)	FastingBS (0.110)
	RestingBP (0.074)	FastingBS (0.064)	MaxHR (0.098)	ST_Slope (0.089)	Oldpeak (0.064)	MaxHR (0.098)	FastingBS (0.064)	ST_Slope (0.087)
	Cholesterol (0.073)	Sex (0.052)	ST_Slope (0.039)	Sex (0.084)	RestingBP (0.063)	ST_Slope (0.039)	Sex (0.052)	Cholesterol (0.082)
Cardiovascular_Disease_Dataset	noofmajorvessels (0.355)	oldpeak (0.260)	oldpeak (0.306)	oldpeak (0.362)	oldpeak (0.388)	oldpeak (0.358)	oldpeak (0.260)	noofmajorvessels (0.317)
	chestpain (0.137)	noofmajorvessels (0.243)	noofmajorvessels (0.285)	fastingbloodsugar (0.227)	chestpain (0.180)	fastingbloodsugar (0.190)	noofmajorvessels (0.243)	maxheartrate (0.138)
	oldpeak (0.062)	fastingbloodsugar (0.179)	chestpain (0.144)	chestpain (0.126)	exerciseangia (0.070)	chestpain (0.155)	fastingbloodsugar (0.179)	chestpain (0.128)
	exerciseangia (0.061)	chestpain (0.092)	exerciseangia (0.061)	noofmajorvessels (0.060)	noofmajorvessels (0.067)	restingBP (0.110)	chestpain (0.092)	exerciseangia (0.079)
	gender (0.060)	exerciseangia (0.058)	fastingbloodsugar (0.045)	gender (0.049)	fastingbloodsugar (0.051)	exerciseangia (0.049)	exerciseangia (0.058)	oldpeak (0.058)
Heart_disease_statlog	cp (0.330)	cp (0.295)	cp (0.317)	cp (0.335)	cp (0.389)	cp (0.310)	ca (0.276)	cp (0.295)
	fbs (0.207)	fbs (0.177)	ca (0.288)	ca (0.280)	fbs (0.187)	ca (0.293)	cp (0.233)	fbs (0.177)
	trestbps (0.148)	oldpeak (0.156)	fbs (0.165)	fbs (0.161)	oldpeak (0.161)	fbs (0.166)	fbs (0.151)	oldpeak (0.156)
	age (0.087)	trestbps (0.148)	oldpeak (0.132)	oldpeak (0.095)	age (0.082)	oldpeak (0.136)	trestbps (0.113)	trestbps (0.148)
	ca (0.053)	age (0.060)	sex (0.031)	sex (0.037)	ca (0.047)	sex (0.038)	age (0.068)	age (0.060)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.543)	Q_WAVE (0.452)	Q_WAVE (0.535)	Q_WAVE (0.470)	Q_WAVE (0.562)	Q_WAVE (0.535)	Q_WAVE (0.452)	Q_WAVE (0.455)
	LDL_CHOLESTEROL (0.097)	HEART_RATE (0.130)	LDL_CHOLESTEROL (0.101)	HEART_RATE (0.138)	LDL_CHOLESTEROL (0.084)	LDL_CHOLESTEROL (0.101)	HEART_RATE (0.130)	HEART_RATE (0.122)
	ECG_PATTERN (0.053)	AGE (0.097)	AGE (0.098)	AGE (0.092)	ECG_PATTERN (0.054)	AGE (0.098)	AGE (0.097)	AGE (0.106)
	HEIGHT (0.039)	LDL_CHOLESTEROL (0.091)	ECG_PATTERN (0.047)	LDL_CHOLESTEROL (0.071)	HEIGHT (0.040)	ECG_PATTERN (0.047)	LDL_CHOLESTEROL (0.091)	LDL_CHOLESTEROL (0.071)
	HEART_RATE (0.038)	FAMILY_HISTORY (0.041)	YEARS_SMOKING (0.038)	ECG_PATTERN (0.045)	YEARS_SMOKING (0.037)	YEARS_SMOKING (0.038)	FAMILY_HISTORY (0.041)	ECG_PATTERN (0.045)
heart_failure_clinical_records	ejection_fraction (0.351)	age (0.285)	serum_sodium (0.335)	time (0.389)	platelets (0.386)	serum_sodium (0.326)	platelets (0.269)	ejection_fraction (0.322)
	platelets (0.121)	high_blood_pressure (0.229)	platelets (0.235)	ejection_fraction (0.147)	serum_sodium (0.171)	platelets (0.262)	time (0.253)	platelets (0.132)
	smoking (0.093)	ejection_fraction (0.176)	time (0.219)	platelets (0.130)	high_blood_pressure (0.097)	ejection_fraction (0.176)	ejection_fraction (0.168)	high_blood_pressure (0.118)
	high_blood_pressure (0.092)	sex (0.085)	ejection_fraction (0.059)	age (0.111)	ejection_fraction (0.067)	high_blood_pressure (0.068)	high_blood_pressure (0.070)	time (0.118)
	sex (0.081)	smoking (0.073)	high_blood_pressure (0.047)	serum_creatinine (0.053)	time (0.054)	time (0.058)	serum_sodium (0.058)	serum_sodium (0.075)
cardio_SAheart	FAMILY_HISTORY (0.327)	ID (0.293)	ID (0.366)	AGE (0.331)	LDL_CHOLESTEROL (0.364)	ID (0.366)	AGE (0.293)	FAMILY_HISTORY (0.296)
	ID (0.147)	LDL_CHOLESTEROL (0.282)	AGE (0.309)	TYPE_A_BEHAVIOR (0.201)	AGE (0.268)	AGE (0.309)	ID (0.261)	AGE (0.184)
	AGE (0.103)	AGE (0.214)	FAMILY_HISTORY (0.190)	FAMILY_HISTORY (0.187)	FAMILY_HISTORY (0.116)	FAMILY_HISTORY (0.190)	FAMILY_HISTORY (0.181)	ID (0.154)
	LDL_CHOLESTEROL (0.095)	FAMILY_HISTORY (0.121)	LDL_CHOLESTEROL (0.076)	LDL_CHOLESTEROL (0.055)	ID (0.069)	LDL_CHOLESTEROL (0.076)	LDL_CHOLESTEROL (0.075)	LDL_CHOLESTEROL (0.118)
