Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
	LDL_CHOLESTEROL (0.081)	HEART_RATE (0.149)	LDL_CHOLESTEROL (0.084)	HEART_RATE (0.134)	HEART_RATE (0.221)	LDL_CHOLESTEROL (0.084)	HEART_RATE (0.108)	HEART_RATE (0.158)
	ECG_PATTERN (0.037)	AGE (0.095)	HEART_RATE (0.083)	ECG_PATTERN (0.046)	ECG_PATTERN (0.047)	HEART_RATE (0.083)	AGE (0.104)	LDL_CHOLESTEROL (0.087)
	YEARS_SMOKING (0.031)	LDL_CHOLESTEROL (0.090)	ECG_PATTERN (0.046)	FAMILY_HISTORY (0.037)	HEIGHT (0.042)	ECG_PATTERN (0.046)	FAMILY_HISTORY (0.048)	AGE (0.076)
	AGE (0.025)	ECG_PATTERN (0.043)	FAMILY_HISTORY (0.022)	SEX (0.018)	YEARS_SMOKING (0.033)	FAMILY_HISTORY (0.022)	ECG_PATTERN (0.047)	ECG_PATTERN (0.040)
heart_failure_clinical_records	platelets (0.416)	serum_sodium (0.334)	time (0.492)	time (0.552)	platelets (0.600)	ejection_fraction (0.381)	serum_sodium (0.334)	serum_sodium (0.404)
	time (0.134)	time (0.329)	ejection_fraction (0.349)	ejection_fraction (0.114)	time (0.116)	time (0.326)	time (0.329)	time (0.139)
	ejection_fraction (0.078)	ejection_fraction (0.134)	platelets (0.099)	platelets (0.056)	serum_sodium (0.072)	serum_sodium (0.127)	ejection_fraction (0.134)	platelets (0.087)
	high_blood_pressure (0.066)	platelets (0.038)	high_blood_pressure (0.018)	serum_creatinine (0.054)	high_blood_pressure (0.056)	platelets (0.115)	platelets (0.038)	ejection_fraction (0.082)
	sex (0.057)	high_blood_pressure (0.038)	sex (0.010)	age (0.050)	sex (0.046)	smoking (0.011)	high_blood_pressure (0.038)	high_blood_pressure (0.067)
cardio_SAheart	LDL_CHOLESTEROL (0.448)	ID (0.366)	ID (0.446)	ID (0.487)	LDL_CHOLESTEROL (0.509)	ID (0.446)	AGE (0.361)	FAMILY_HISTORY (0.364)
	FAMILY_HISTORY (0.187)	LDL_CHOLESTEROL (0.317)	FAMILY_HISTORY (0.320)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.198)	FAMILY_HISTORY (0.320)	LDL_CHOLESTEROL (0.232)	ID (0.150)
	AGE (0.119)	FAMILY_HISTORY (0.142)	LDL_CHOLESTEROL (0.144)	AGE (0.124)	AGE (0.100)	LDL_CHOLESTEROL (0.144)	FAMILY_HISTORY (0.163)	AGE (0.142)
	ID (0.077)	AGE (0.094)	SYSTOLIC_BLOOD_PRESSURE (0.027)	LDL_CHOLESTEROL (0.070)	ALCOHOL_CONSUMPTION (0.053)	SYSTOLIC_BLOOD_PRESSURE (0.027)	OBESITY (0.054)	LDL_CHOLESTEROL (0.121)
	OBESITY (0.050)	TYPE_A_BEHAVIOR (0.032)	ALCOHOL_CONSUMPTION (0.022)	ALCOHOL_CONSUMPTION (0.047)	TYPE_A_BEHAVIOR (0.043)	ALCOHOL_CONSUMPTION (0.022)	SYSTOLIC_BLOOD_PRESSURE (0.050)	ALCOHOL_CONSUMPTION (0.075)
