Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	ChestPainType (0.364)	Cholesterol (0.376)	Cholesterol (0.396)	ChestPainType (0.484)	Cholesterol (0.526)	Cholesterol (0.477)	Cholesterol (0.376)	ChestPainType (0.354)
	MaxHR (0.161)	ChestPainType (0.222)	ChestPainType (0.263)	FastingBS (0.111)	ChestPainType (0.159)	ChestPainType (0.300)	ChestPainType (0.243)	FastingBS (0.122)
	FastingBS (0.081)	Age (0.169)	Age (0.160)	Cholesterol (0.091)	ST_Slope (0.056)	ST_Slope (0.052)	Age (0.176)	Cholesterol (0.102)
	Cholesterol (0.066)	RestingBP (0.065)	ST_Slope (0.044)	Sex (0.078)	RestingBP (0.052)	Sex (0.046)	Oldpeak (0.042)	ST_Slope (0.097)
	Oldpeak (0.065)	Oldpeak (0.041)	Sex (0.041)	ST_Slope (0.063)	Sex (0.050)	ExerciseAngina (0.037)	ST_Slope (0.041)	Sex (0.087)
Cardiovascular_Disease_Dataset	oldpeak (0.400)	oldpeak (0.400)	oldpeak (0.414)	oldpeak (0.414)	oldpeak (0.414)	oldpeak (0.414)	oldpeak (0.400)	oldpeak (0.400)
	chestpain (0.169)	chestpain (0.169)	chestpain (0.196)	chestpain (0.196)	chestpain (0.196)	chestpain (0.196)	chestpain (0.169)	chestpain (0.169)
	exerciseangia (0.073)	exerciseangia (0.073)	noofmajorvessels (0.069)	noofmajorvessels (0.069)	noofmajorvessels (0.069)	noofmajorvessels (0.069)	exerciseangia (0.073)	exerciseangia (0.073)
	noofmajorvessels (0.065)	noofmajorvessels (0.065)	fastingbloodsugar (0.055)	fastingbloodsugar (0.055)	fastingbloodsugar (0.055)	fastingbloodsugar (0.055)	noofmajorvessels (0.065)	noofmajorvessels (0.065)
	fastingbloodsugar (0.052)	fastingbloodsugar (0.052)	exerciseangia (0.055)	exerciseangia (0.055)	exerciseangia (0.055)	exerciseangia (0.055)	fastingbloodsugar (0.052)	fastingbloodsugar (0.052)
Heart_disease_statlog	cp (0.585)	ca (0.331)	cp (0.353)	cp (0.598)	cp (0.597)	cp (0.419)	cp (0.321)	cp (0.366)
	ca (0.072)	cp (0.285)	ca (0.303)	ca (0.074)	ca (0.076)	ca (0.370)	ca (0.304)	fbs (0.232)
	fbs (0.057)	fbs (0.190)	fbs (0.172)	fbs (0.058)	sex (0.062)	sex (0.049)	fbs (0.170)	age (0.086)
	sex (0.056)	sex (0.043)	age (0.058)	sex (0.058)	fbs (0.056)	fbs (0.041)	age (0.074)	oldpeak (0.085)
	trestbps (0.047)	trestbps (0.029)	sex (0.033)	trestbps (0.049)	trestbps (0.046)	oldpeak (0.029)	sex (0.039)	ca (0.054)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.695)	Q_WAVE (0.487)	Q_WAVE (0.673)	Q_WAVE (0.680)	Q_WAVE (0.496)	Q_WAVE (0.673)	Q_WAVE (0.535)	Q_WAVE (0.458)
