Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	ChestPainType (0.350)	ChestPainType (0.281)	Cholesterol (0.349)	ChestPainType (0.350)	ChestPainType (0.338)	Cholesterol (0.349)	ChestPainType (0.281)	Age (0.289)
	MaxHR (0.166)	Cholesterol (0.273)	ChestPainType (0.221)	MaxHR (0.166)	Cholesterol (0.278)	ChestPainType (0.221)	Cholesterol (0.273)	ChestPainType (0.208)
	RestingBP (0.089)	MaxHR (0.125)	Age (0.162)	RestingBP (0.089)	FastingBS (0.075)	Age (0.162)	MaxHR (0.125)	FastingBS (0.092)
	FastingBS (0.079)	RestingBP (0.070)	MaxHR (0.081)	FastingBS (0.079)	Oldpeak (0.061)	MaxHR (0.081)	RestingBP (0.070)	Cholesterol (0.076)
	Cholesterol (0.077)	FastingBS (0.063)	RestingBP (0.057)	Cholesterol (0.077)	ST_Slope (0.059)	RestingBP (0.057)	FastingBS (0.063)	Oldpeak (0.072)
Cardiovascular_Disease_Dataset	noofmajorvessels (0.373)	oldpeak (0.268)	oldpeak (0.358)	oldpeak (0.362)	oldpeak (0.396)	oldpeak (0.358)	oldpeak (0.258)	fastingbloodsugar (0.301)
	chestpain (0.153)	noofmajorvessels (0.226)	fastingbloodsugar (0.190)	fastingbloodsugar (0.227)	chestpain (0.141)	fastingbloodsugar (0.190)	noofmajorvessels (0.233)	chestpain (0.162)
	exerciseangia (0.059)	fastingbloodsugar (0.160)	chestpain (0.155)	chestpain (0.126)	noofmajorvessels (0.068)	chestpain (0.155)	fastingbloodsugar (0.153)	exerciseangia (0.093)
	fastingbloodsugar (0.058)	restingBP (0.094)	restingBP (0.110)	noofmajorvessels (0.060)	exerciseangia (0.060)	restingBP (0.110)	chestpain (0.090)	noofmajorvessels (0.078)
	patientid (0.052)	chestpain (0.090)	exerciseangia (0.049)	gender (0.049)	gender (0.057)	exerciseangia (0.049)	restingBP (0.047)	oldpeak (0.073)
Heart_disease_statlog	cp (0.330)	cp (0.314)	cp (0.303)	cp (0.353)	cp (0.353)	cp (0.303)	cp (0.277)	cp (0.290)
	fbs (0.207)	fbs (0.205)	ca (0.274)	fbs (0.221)	fbs (0.221)	ca (0.274)	ca (0.260)	ca (0.238)
	trestbps (0.148)	oldpeak (0.165)	fbs (0.155)	oldpeak (0.157)	oldpeak (0.157)	fbs (0.155)	fbs (0.147)	fbs (0.136)
	age (0.087)	trestbps (0.151)	oldpeak (0.126)	trestbps (0.064)	trestbps (0.064)	oldpeak (0.126)	oldpeak (0.121)	oldpeak (0.120)
	ca (0.053)	ca (0.049)	age (0.062)	ca (0.052)	ca (0.052)	age (0.062)	age (0.064)	trestbps (0.072)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.557)	Q_WAVE (0.497)	Q_WAVE (0.535)	Q_WAVE (0.481)	Q_WAVE (0.605)	Q_WAVE (0.535)	Q_WAVE (0.497)	Q_WAVE (0.455)
	LDL_CHOLESTEROL (0.083)	HEART_RATE (0.103)	HEART_RATE (0.108)	HEART_RATE (0.159)	HEIGHT (0.057)	HEART_RATE (0.108)	HEART_RATE (0.103)	HEART_RATE (0.122)
	ECG_PATTERN (0.054)	AGE (0.092)	AGE (0.104)	LDL_CHOLESTEROL (0.094)	ECG_PATTERN (0.053)	AGE (0.104)	AGE (0.092)	AGE (0.106)
