Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
	WEIGHT (0.042)	LDL_CHOLESTEROL (0.090)	FAMILY_HISTORY (0.048)	AGE (0.088)	YEARS_SMOKING (0.043)	FAMILY_HISTORY (0.048)	LDL_CHOLESTEROL (0.090)	LDL_CHOLESTEROL (0.071)
	HEIGHT (0.040)	ECG_PATTERN (0.044)	ECG_PATTERN (0.047)	ECG_PATTERN (0.042)	HEART_RATE (0.040)	ECG_PATTERN (0.047)	ECG_PATTERN (0.044)	ECG_PATTERN (0.045)
heart_failure_clinical_records	ejection_fraction (0.380)	ejection_fraction (0.271)	time (0.411)	time (0.411)	serum_sodium (0.389)	time (0.411)	time (0.278)	ejection_fraction (0.271)
	serum_creatinine (0.136)	high_blood_pressure (0.161)	serum_sodium (0.200)	serum_sodium (0.200)	ejection_fraction (0.232)	serum_sodium (0.200)	high_blood_pressure (0.152)	high_blood_pressure (0.161)
	high_blood_pressure (0.090)	platelets (0.147)	platelets (0.191)	platelets (0.191)	platelets (0.067)	platelets (0.191)	serum_sodium (0.147)	platelets (0.147)
	time (0.079)	serum_sodium (0.102)	ejection_fraction (0.075)	ejection_fraction (0.075)	high_blood_pressure (0.065)	ejection_fraction (0.075)	sex (0.085)	serum_sodium (0.102)
	platelets (0.078)	smoking (0.099)	high_blood_pressure (0.039)	high_blood_pressure (0.039)	time (0.056)	high_blood_pressure (0.039)	smoking (0.073)	smoking (0.099)
cardio_SAheart	FAMILY_HISTORY (0.321)	LDL_CHOLESTEROL (0.303)	LDL_CHOLESTEROL (0.338)	LDL_CHOLESTEROL (0.369)	LDL_CHOLESTEROL (0.348)	ID (0.347)	LDL_CHOLESTEROL (0.303)	FAMILY_HISTORY (0.296)
	ID (0.184)	AGE (0.298)	AGE (0.297)	FAMILY_HISTORY (0.179)	FAMILY_HISTORY (0.225)	AGE (0.257)	AGE (0.298)	AGE (0.184)
	OBESITY (0.115)	FAMILY_HISTORY (0.148)	FAMILY_HISTORY (0.156)	TYPE_A_BEHAVIOR (0.151)	AGE (0.139)	FAMILY_HISTORY (0.138)	FAMILY_HISTORY (0.148)	ID (0.154)
	ALCOHOL_CONSUMPTION (0.095)	TYPE_A_BEHAVIOR (0.092)	ID (0.077)	AGE (0.116)	OBESITY (0.066)	LDL_CHOLESTEROL (0.118)	TYPE_A_BEHAVIOR (0.092)	LDL_CHOLESTEROL (0.118)
	LDL_CHOLESTEROL (0.083)	ID (0.075)	ADIPOSITY (0.055)	ID (0.090)	ALCOHOL_CONSUMPTION (0.065)	OBESITY (0.035)	ID (0.075)	ALCOHOL_CONSUMPTION (0.076)
