Source	LCG 1	LCG 2	LCG 3	LCG 4	LCG 5	LCG 6	LCG 7	LCG 8
heart	Cholesterol (0.316)	Cholesterol (0.316)	Cholesterol (0.316)	Cholesterol (0.316)	Cholesterol (0.316)	Cholesterol (0.316)	Cholesterol (0.316)	Cholesterol (0.316)
	ChestPainType (0.275)	ChestPainType (0.275)	ChestPainType (0.275)	ChestPainType (0.275)	ChestPainType (0.275)	ChestPainType (0.275)	ChestPainType (0.275)	ChestPainType (0.275)
	MaxHR (0.082)	MaxHR (0.082)	MaxHR (0.082)	MaxHR (0.082)	MaxHR (0.082)	MaxHR (0.082)	MaxHR (0.082)	MaxHR (0.082)
	Sex (0.058)	Sex (0.058)	Sex (0.058)	Sex (0.058)	Sex (0.058)	Sex (0.058)	Sex (0.058)	Sex (0.058)
	ST_Slope (0.053)	ST_Slope (0.053)	ST_Slope (0.053)	ST_Slope (0.053)	ST_Slope (0.053)	ST_Slope (0.053)	ST_Slope (0.053)	ST_Slope (0.053)
Cardiovascular_Disease_Dataset	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)	oldpeak (0.679)
	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)	chestpain (0.072)
	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)	noofmajorvessels (0.035)
	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)	exerciseangia (0.035)
	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)	gender (0.033)
Heart_disease_statlog	cp (0.495)	cp (0.495)	cp (0.495)	cp (0.495)	cp (0.495)	cp (0.495)	cp (0.495)	cp (0.495)
	fbs (0.168)	fbs (0.168)	fbs (0.168)	fbs (0.168)	fbs (0.168)	fbs (0.168)	fbs (0.168)	fbs (0.168)
	ca (0.124)	ca (0.124)	ca (0.124)	ca (0.124)	ca (0.124)	ca (0.124)	ca (0.124)	ca (0.124)
	sex (0.052)	sex (0.052)	sex (0.052)	sex (0.052)	sex (0.052)	sex (0.052)	sex (0.052)	sex (0.052)
	oldpeak (0.031)	oldpeak (0.031)	oldpeak (0.031)	oldpeak (0.031)	oldpeak (0.031)	oldpeak (0.031)	oldpeak (0.031)	oldpeak (0.031)
Erbil_Cardiovascular_Health_Dataset	Q_WAVE (0.559)	Q_WAVE (0.559)	Q_WAVE (0.559)	Q_WAVE (0.559)	Q_WAVE (0.559)	Q_WAVE (0.559)	Q_WAVE (0.559)	Q_WAVE (0.559)
	HEART_RATE (0.177)	HEART_RATE (0.177)	HEART_RATE (0.177)	HEART_RATE (0.177)	HEART_RATE (0.177)	HEART_RATE (0.177)	HEART_RATE (0.177)	HEART_RATE (0.177)
	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)	ECG_PATTERN (0.050)
	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)	FAMILY_HISTORY (0.033)
	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)	YEARS_SMOKING (0.030)
heart_failure_clinical_records	time (0.457)	time (0.457)	time (0.470)	time (0.461)	ejection_fraction (0.405)	time (0.470)	time (0.457)	time (0.457)
	serum_sodium (0.132)	serum_sodium (0.132)	ejection_fraction (0.220)	ejection_fraction (0.197)	time (0.297)	ejection_fraction (0.220)	serum_sodium (0.132)	serum_sodium (0.132)
	ejection_fraction (0.125)	ejection_fraction (0.125)	platelets (0.085)	serum_sodium (0.083)	serum_sodium (0.112)	platelets (0.085)	ejection_fraction (0.125)	ejection_fraction (0.125)
	platelets (0.088)	platelets (0.088)	serum_sodium (0.072)	platelets (0.070)	platelets (0.056)	serum_sodium (0.072)	platelets (0.088)	platelets (0.088)
	high_blood_pressure (0.045)	high_blood_pressure (0.045)	high_blood_pressure (0.041)	high_blood_pressure (0.045)	high_blood_pressure (0.034)	high_blood_pressure (0.041)	high_blood_pressure (0.045)	high_blood_pressure (0.045)
cardio_SAheart	ID (0.427)	ID (0.427)	ID (0.427)	ID (0.427)	ID (0.427)	ID (0.427)	ID (0.427)	ID (0.427)
	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)	FAMILY_HISTORY (0.185)
	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)	LDL_CHOLESTEROL (0.154)
	AGE (0.059)	AGE (0.059)	AGE (0.059)	AGE (0.059)	AGE (0.059)	AGE (0.059)	AGE (0.059)	AGE (0.059)
	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)	TYPE_A_BEHAVIOR (0.040)
